model,task,mse,rmse,r2,accuracy,precision,recall,f1,roc_auc
reg_pipeline,severity,0.002774518448859453,0.052673697884802556,0.0026674866676330566,,,,,
clf_pipeline,occurrence,,,,0.9971702829717028,0.1,0.0017921146953405018,0.0035211267605633804,0.6852402811232466
